trade_id,direction,is_trend,entry_time,exit_time,entry_price,exit_price,size_btc,lots,gross_pnl,net_pnl,points_captured,exit_reason,trail_stage_at_exit,bars_held,entry_fee,entry_gst,exit_fee,exit_gst,funding_paid
947,SHORT,True,2026-02-11 16:30:00+00:00,2026-02-11 17:21:00+00:00,66595.78975499999,66740.25,0.1,100,-14.44602450000093,-19.95024599554593,-144.4602450000093,Trail_SL_Stage1,1,0,3.32978948775,0.599362107795,1.3348050000000002,0.24026490000000003,0.0
948,LONG,True,2026-02-13 15:00:00+00:00,2026-02-13 15:51:00+00:00,67740.53337599999,68379.65,0.1,100,63.91166240000021,58.30121119081621,639.116624000002,Trail_SL_Stage3,3,0,3.3870266688,0.609664800384,1.367593,0.24616674,0.0
949,LONG,True,2026-02-14 06:00:00+00:00,2026-02-14 08:00:00+00:00,68780.537366,69219.02,0.1,100,43.8482634,37.468837449746,438.48263399999996,Trail_SL_Stage3,3,0,3.4390268683000005,0.6190248362940001,1.3843804000000002,0.24918847200000002,0.6878053736600002
950,LONG,True,2026-02-14 11:00:00+00:00,2026-02-14 11:39:00+00:00,69679.077211,70061.85,0.1,100,38.277278900000965,32.51275368455197,382.77278900000965,Trail_SL_Stage2,2,0,3.4839538605500002,0.627111694899,1.4012370000000003,0.25222266000000004,0.0
951,SHORT,True,2026-02-16 10:00:00+00:00,2026-02-16 10:51:00+00:00,68985.550755,68933.84,0.1,100,5.171075500000734,-0.525910618544267,51.71075500000734,Trail_SL_Stage1,1,0,3.4492775377500005,0.620869956795,1.3786768,0.248161824,0.0
952,SHORT,True,2026-02-16 11:00:00+00:00,2026-02-16 11:52:30+00:00,68791.08020400001,68898.32114255053,0.1,100,-10.724093855051615,-16.40876796605181,-107.24093855051615,SL,0,0,3.439554010200001,0.6191197218360002,1.3779664228510107,0.2480339561131819,0.0
953,LONG,True,2026-02-16 12:30:00+00:00,2026-02-16 13:18:00+00:00,69512.210526,68766.42132665862,0.1,100,-74.57891993413796,-80.3030278984811,-745.7891993413796,Trail_SL_Stage1,1,0,3.4756105263,0.625609894734,1.3753284265331724,0.24755911677597103,0.0
954,SHORT,True,2026-02-16 13:30:00+00:00,2026-02-16 16:00:00+00:00,68603.898924,67539.78,0.1,100,106.41189239999949,101.45636254472349,1064.1189239999949,Trail_SL_Stage3,3,0,3.4301949462,0.617435090316,1.3507956,0.243143208,-0.68603898924
955,SHORT,True,2026-02-17 14:30:00+00:00,2026-02-17 15:09:00+00:00,68019.62735699999,67210.25,0.1,100,80.93773569999904,75.33841578593604,809.3773569999903,Trail_SL_Stage3,3,0,3.4009813678499996,0.6121766462129999,1.344205,0.2419569,0.0
956,LONG,True,2026-02-20 09:00:00+00:00,2026-02-20 09:42:00+00:00,67887.028024,68136.30697298073,0.1,100,24.927894898073284,19.314543400094937,249.27894898073282,Trail_SL_Stage1,1,0,3.3943514012000002,0.610983252216,1.3627261394596148,0.24529070510273066,0.0
957,LONG,True,2026-02-20 10:00:00+00:00,2026-02-20 10:54:00+00:00,68225.92191,67903.87029729989,0.1,100,-32.20516127001174,-37.83302200171802,-322.0516127001174,SL,0,0,3.4112960955000005,0.6140332971900001,1.358077405945998,0.24445393307027963,0.0
958,SHORT,True,2026-02-22 17:30:00+00:00,2026-02-22 18:51:00+00:00,67489.26039899999,67451.49,0.1,100,3.777039899998636,-1.7966816275423643,37.770398999986355,Trail_SL_Stage1,1,0,3.37446301995,0.6074033435909999,1.3490298000000003,0.24282536400000004,0.0
959,SHORT,True,2026-02-23 00:30:00+00:00,2026-02-23 06:22:30+00:00,67467.002625,65434.043718733534,0.1,100,203.295890626646,197.7710940400089,2032.95890626646,Trail_SL_Stage5,5,0,3.37335013125,0.607203023625,1.3086808743746707,0.23556255738744072,0.0
960,SHORT,True,2026-02-23 14:30:00+00:00,2026-02-23 15:33:00+00:00,66079.401399,65854.91379140776,0.1,100,22.44876075922366,16.995900111205437,224.4876075922366,Trail_SL_Stage1,1,0,3.30397006995,0.594714612591,1.3170982758281553,0.23707768964906795,0.0
961,SHORT,True,2026-02-23 17:00:00+00:00,2026-02-23 17:49:30+00:00,65357.87355900001,64813.87,0.1,100,54.400355900000434,49.01463402801943,544.0035590000043,Trail_SL_Stage3,3,0,3.2678936779500005,0.5882208620310001,1.2962774000000001,0.23332993200000002,0.0
962,SHORT,True,2026-02-23 19:30:00+00:00,2026-02-23 20:49:30+00:00,64457.143640999995,64488.19,0.1,100,-3.1046359000007215,-8.429528658819722,-31.046359000007214,Trail_SL_Stage1,1,0,3.2228571820500003,0.5801142927690001,1.2897638000000002,0.23215748400000003,0.0
963,SHORT,True,2026-02-24 01:00:00+00:00,2026-02-24 01:40:30+00:00,64934.675882999996,64614.75,0.1,100,31.992588299999625,26.636534322902627,319.92588299999625,Trail_SL_Stage1,1,0,3.24673379415,0.584412082947,1.2922950000000002,0.23261310000000002,0.0
964,SHORT,True,2026-02-24 03:00:00+00:00,2026-02-24 04:00:00+00:00,64103.139045,63595.76,0.1,100,50.737904500000155,45.45495936034516,507.3790450000015,Trail_SL_Stage2,2,0,3.2051569522500003,0.576928251405,1.2719152000000002,0.22894473600000004,0.0
965,SHORT,True,2026-02-24 05:00:00+00:00,2026-02-24 05:52:30+00:00,63372.252141,63100.68581540104,0.1,100,27.156632559895662,21.928493498333196,271.5663255989566,Trail_SL_Stage1,1,0,3.16861260705,0.570350269269,1.262013716308021,0.22716246893544376,0.0
966,SHORT,True,2026-02-24 13:00:00+00:00,2026-02-24 14:01:30+00:00,62962.493121,62885.40517452138,0.1,100,7.708794647861942,2.5099119916042376,77.08794647861941,Trail_SL_Stage1,1,0,3.1481246560500002,0.5666624380890001,1.2577081034904278,0.226387458628277,0.0
967,SHORT,True,2026-02-25 05:30:00+00:00,2026-02-25 07:21:00+00:00,65190.730275,65193.5,0.1,100,-0.27697249999982887,-5.6617921862248295,-2.7697249999982887,Trail_SL_Stage1,1,0,3.2595365137500005,0.5867165724750001,1.30387,0.2346966,0.0
968,LONG,True,2026-02-25 15:00:00+00:00,2026-02-25 16:30:00+00:00,66980.137344,67871.92,0.1,100,89.17826559999958,82.95485881126358,891.7826559999958,Trail_SL_Stage3,3,0,3.3490068672000004,0.602821236096,1.3574384000000002,0.24433891200000002,0.6698013734400001
969,LONG,True,2026-02-25 17:00:00+00:00,2026-02-25 18:09:00+00:00,68304.42976,68373.08,0.1,100,6.865024000000267,1.2214579561602665,68.65024000000267,Trail_SL_Stage1,1,0,3.4152214880000002,0.61473986784,1.3674616000000002,0.246143088,0.0
970,SHORT,True,2026-02-27 14:30:00+00:00,2026-02-27 15:24:00+00:00,66110.948244,66189.99932699131,0.1,100,-7.905108299131098,-13.367738229644093,-79.05108299131098,SL,0,0,3.3055474122,0.594998534196,1.3237999865398262,0.2382839975771687,0.0
971,SHORT,True,2026-02-27 16:30:00+00:00,2026-02-27 17:10:30+00:00,65989.410399,65665.97,0.1,100,32.34403989999992,26.900947794458922,323.44039899999916,Trail_SL_Stage1,1,0,3.2994705199500003,0.5939046935910001,1.3133194000000001,0.23639749200000001,0.0
972,SHORT,True,2026-02-28 05:30:00+00:00,2026-02-28 06:58:30+00:00,65639.265417,63216.26,0.1,100,242.30054170000005,236.93592130439706,2423.0054170000003,Trail_SL_Stage5,5,0,3.2819632708500004,0.5907533887530001,1.2643252,0.227578536,0.0
973,SHORT,True,2026-02-28 11:30:00+00:00,2026-02-28 12:21:00+00:00,64244.224935000006,64082.91,0.1,100,16.131493500000214,10.828727552835215,161.31493500000215,Trail_SL_Stage1,1,0,3.212211246750001,0.5781980244150001,1.2816582000000003,0.23069847600000004,0.0
974,LONG,True,2026-03-01 01:30:00+00:00,2026-03-01 02:52:30+00:00,66357.915128,67601.63192600549,0.1,100,124.37167980054947,118.86116429454374,1243.7167980054946,Trail_SL_Stage3,3,0,3.3178957564,0.597221236152,1.35203263852011,0.2433658749336198,0.0
975,LONG,True,2026-03-01 07:30:00+00:00,2026-03-01 08:49:30+00:00,66994.59878999999,66389.08,0.1,100,-60.551878999998735,-66.74128860450874,-605.5187899999873,SL,0,0,3.3497299394999995,0.6029513891099999,1.3277816000000002,0.23900068800000004,0.6699459878999999
976,LONG,True,2026-03-03 12:00:00+00:00,2026-03-03 12:49:30+00:00,67033.552685,67260.07,0.1,100,22.651731500000462,17.109414239585462,226.5173150000046,Trail_SL_Stage1,1,0,3.35167763425,0.603301974165,1.3452014000000003,0.24213625200000005,0.0
977,LONG,True,2026-03-04 01:30:00+00:00,2026-03-04 02:25:30+00:00,68259.065224,68047.66898065204,0.1,100,-21.1396243347961,-26.772834170955488,-211.396243347961,SL,0,0,3.4129532612,0.614331587016,1.360953379613041,0.2449716083303474,0.0
978,LONG,True,2026-03-04 08:30:00+00:00,2026-03-04 09:09:00+00:00,69323.601667,70724.01,0.1,100,140.04083329999995,134.28165416564696,1400.4083329999994,Trail_SL_Stage3,3,0,3.4661800833500003,0.623912415003,1.4144802,0.254606436,0.0
979,LONG,True,2026-03-04 14:00:00+00:00,2026-03-04 14:49:30+00:00,71484.567742,71299.85,0.1,100,-18.471774199999345,-24.372040156777345,-184.71774199999345,Trail_SL_Stage2,2,0,3.5742283871000002,0.643361109678,1.4259970000000002,0.25667946,0.0
980,LONG,True,2026-03-04 15:00:00+00:00,2026-03-04 15:39:00+00:00,71628.442128,72575.85,0.1,100,94.74078720000108,88.80191905444909,947.4078720000107,Trail_SL_Stage2,2,0,3.5814221064,0.6446559791519999,1.4515170000000002,0.26127306,0.0
981,SHORT,True,2026-03-06 12:00:00+00:00,2026-03-06 13:19:30+00:00,70205.668731,70227.72,0.1,100,-2.205126900000323,-8.004635547129325,-22.05126900000323,Trail_SL_Stage1,1,0,3.5102834365500004,0.6318510185790001,1.4045544000000003,0.25281979200000004,0.0
982,SHORT,True,2026-03-06 13:30:00+00:00,2026-03-06 14:33:00+00:00,70053.583941,69026.81109749348,0.1,100,102.6772843506522,96.91509015623235,1026.772843506522,Trail_SL_Stage3,3,0,3.5026791970500004,0.630482255469,1.3805362219498698,0.24849651995097655,0.0
983,SHORT,True,2026-03-06 17:30:00+00:00,2026-03-06 18:22:30+00:00,68238.75544200001,68401.78179850122,0.1,100,-16.302635650121374,-21.943004271644003,-163.02635650121374,SL,0,0,3.411937772100001,0.6141487989780001,1.3680356359700245,0.2462464144746044,0.0
